"SEP=,"
"Hero ","Total ","Seasons ","Average ","Last Season ","Recolors ","total Battle Pass","seasons Battle Pass","average Battle Pass","last season Battle Pass","recolors Battle Pass","total Mythic Shop","seasons Mythic Shop","average Mythic Shop","last season Mythic Shop","recolors Mythic Shop","total Shop","seasons Shop","average Shop","last season Shop","recolors Shop","total Collaboration","seasons Collaboration","average Collaboration","last season Collaboration","recolors Collaboration","total Challenge","seasons Challenge","average Challenge","last season Challenge","recolors Challenge","total Bundle Special","seasons Bundle Special","average Bundle Special","last season Bundle Special","recolors Bundle Special","total Blizzard Special","seasons Blizzard Special","average Blizzard Special","last season Blizzard Special","recolors Blizzard Special","total Competitive","seasons Competitive","average Competitive","last season Competitive","recolors Competitive","total Overwatch League","seasons Overwatch League","average Overwatch League","last season Overwatch League","recolors Overwatch League","total Overwatch Esports","seasons Overwatch Esports","average Overwatch Esports","last season Overwatch Esports","recolors Overwatch Esports"
Ana,25,16/24,1.04,23,6,5,5/24,0.21,17,0,2,2/24,0.08,22,0,11,9/24,0.46,22,5,0,0/24,0,0,0,1,1/24,0.04,5,0,3,3/24,0.13,16,0,0,0/24,0,0,0,1,1/24,0.04,18,0,0,0/24,0,0,0,2,2/24,0.08,23,1
Anran,6,3/4,1.5,23,0,0,0/4,0,0,0,0,0/4,0,0,0,5,3/4,1.25,23,0,1,1/4,0.25,23,0,0,0/4,0,0,0,0,0/4,0,0,0,0,0/4,0,0,0,0,0/4,0,0,0,0,0/4,0,0,0,0,0/4,0,0,0
Ashe,25,19/24,1.04,23,4,5,5/24,0.21,22,0,1,1/24,0.04,11,0,16,12/24,0.67,23,4,3,3/24,0.13,19,0,0,0/24,0,0,0,0,0/24,0,0,0,0,0/24,0,0,0,0,0/24,0,0,0,0,0/24,0,0,0,0,0/24,0,0,0
Baptiste,10,9/24,0.42,21,1,4,4/24,0.17,21,0,0,0/24,0,0,0,5,5/24,0.21,19,1,0,0/24,0,0,0,1,1/24,0.04,8,0,0,0/24,0,0,0,0,0/24,0,0,0,0,0/24,0,0,0,0,0/24,0,0,0,0,0/24,0,0,0
Bastion,12,12/24,0.5,22,2,2,2/24,0.08,9,0,0,0/24,0,0,0,7,7/24,0.29,20,2,1,1/24,0.04,11,0,1,1/24,0.04,22,0,1,1/24,0.04,7,0,0,0/24,0,0,0,0,0/24,0,0,0,0,0/24,0,0,0,0,0/24,0,0,0
Brigitte,20,17/24,0.83,24,5,4,4/24,0.17,24,0,0,0/24,0,0,0,10,9/24,0.42,22,3,3,3/24,0.13,22,1,2,2/24,0.08,6,0,0,0/24,0,0,0,0,0/24,0,0,0,0,0/24,0,0,0,0,0/24,0,0,0,1,1/24,0.04,18,1
Cassidy,22,15/24,0.92,24,2,7,7/24,0.29,24,0,1,1/24,0.04,20,0,4,4/24,0.17,23,1,2,2/24,0.08,17,0,4,4/24,0.17,22,1,3,3/24,0.13,23,0,0,0/24,0,0,0,1,1/24,0.04,19,0,0,0/24,0,0,0,0,0/24,0,0,0
D.Mon,1,1/1,1,24,0,0,0/1,0,0,0,0,0/1,0,0,0,0,0/1,0,0,0,0,0/1,0,0,0,0,0/1,0,0,0,1,1/1,1,24,0,0,0/1,0,0,0,0,0/1,0,0,0,0,0/1,0,0,0,0,0/1,0,0,0
D.Va,27,18/24,1.13,24,9,2,2/24,0.08,24,0,1,1/24,0.04,17,0,9,8/24,0.38,22,4,8,6/24,0.33,21,3,1,1/24,0.04,22,0,2,2/24,0.08,12,0,0,0/24,0,0,0,1,1/24,0.04,18,0,0,0/24,0,0,0,2,2/24,0.08,22,2
Domina,3,3/4,0.75,23,0,0,0/4,0,0,0,0,0/4,0,0,0,2,2/4,0.5,22,0,0,0/4,0,0,0,0,0/4,0,0,0,1,1/4,0.25,23,0,0,0/4,0,0,0,0,0/4,0,0,0,0,0/4,0,0,0,0,0/4,0,0,0
Doomfist,17,17/24,0.71,24,2,4,4/24,0.17,12,0,1,1/24,0.04,20,0,6,6/24,0.25,24,2,2,2/24,0.08,17,0,1,1/24,0.04,5,0,2,2/24,0.08,15,0,0,0/24,0,0,0,1,1/24,0.04,21,0,0,0/24,0,0,0,0,0/24,0,0,0
